ACTIONID,Count,高危機.死亡,TIPVDA,X1.4.5.6,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,家暴因素.不良嗜好.賭博.出入不正當場所,家暴因素.個性.生活習慣不合,家暴因素.其他,家暴因素.子女教養問題,家暴因素.性生活不協調,家暴因素.感情.外遇問題,家暴因素.施用毒品.禁藥或迷幻物品,家暴因素.照顧壓力,家暴因素.疑似或罹患精神疾病,家暴因素.經濟狀況不佳,家暴因素.親屬間相處問題,家暴因素.財務問題,家暴因素.財務支配或借貸問題,家暴因素.酗酒,成人家庭暴力兩造關係,被害人婚姻狀態,暴力型態.性暴力,暴力型態.精神暴力,暴力型態.經濟暴力,暴力型態.肢體暴力,使用武器,施暴武器說明,自殺意念,自殺行為,受暴持續總月數,求助時間差.小時,MAIMED,AGE,OCCUPATION,EDUCATION,lng,lat,district,town,Count_plus
DV00680469,1,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,,0,0,36,36,1,22,,6,121.5683528,25.0249438,信義區,六合里,1
DVP0183629,1,0,6,3,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,藤條,0,0,120,4,1,43,家庭管理,9,121.5028328,25.0295757,萬華區,新忠里,1
DV00711454,1,0,6,3,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,1,0,,0,0,0,16,1,44,專門職業,9,121.5146647,25.055567,大同區,星明里,1
DVP0197594,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,,0,0,0,1634,1,44,無工作,6,121.588213,25.043227,南港區,成福里,1
DVP0205744,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,0,0,1,0,,0,0,0,9,1,23,,5,121.5389749,25.0304551,大安區,新龍里,1
DI00404933,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,,1,0,0,21,1,48,其他,9,121.5889161,25.0386236,南港區,百福里,1
DVP0145632,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,1,NA,,NA,NA,0,3,1,50,其他,9,121.4981755,25.0248422,萬華區,全德里,1
DVP0198752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,6,2,0,1,0,0,0,,0,0,0,8,1,62,,9,121.5107639,25.0688882,大同區,鄰江里,1
DVP0149353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,0,0,0,9,1,42,,5,121.6164154,25.0768379,內湖區,安泰里,1
DV00724677,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,,0,0,6,30,1,36,,6,121.5517363,25.0453827,松山區,敦化里,1
