"","x"
"1","DI00401592"
"2","DI00402206"
"3","DI00402368"
"4","DI00402787"
"5","DI00404167"
"6","DI00404532"
"7","DI00405353"
"8","DI00405577"
"9","DI00406405"
"10","DI00406682"
"11","DI00406883"
"12","DI00407518"
"13","DI00407610"
"14","DI00407687"
"15","DI00407920"
"16","DI00408214"
"17","DI00408335"
"18","DI00408424"
"19","DI00408462"
"20","DI00408470"
"21","DI00408889"
"22","DI00408999"
"23","DI00409048"
"24","DI00409167"
"25","DI00409567"
"26","DV00577885"
"27","DV00579181"
"28","DV00586481"
"29","DV00591804"
"30","DV00592241"
"31","DV00592544"
"32","DV00593783"
"33","DV00601103"
"34","DV00606761"
"35","DV00611822"
"36","DV00620662"
"37","DV00622823"
"38","DV00634005"
"39","DV00637008"
"40","DV00645862"
"41","DV00651768"
"42","DV00652585"
"43","DV00653024"
"44","DV00653162"
"45","DV00654043"
"46","DV00657246"
"47","DV00657501"
"48","DV00658288"
"49","DV00659402"
"50","DV00662949"
"51","DV00663320"
"52","DV00667395"
"53","DV00668032"
"54","DV00668390"
"55","DV00668500"
"56","DV00668500"
"57","DV00668573"
"58","DV00668652"
"59","DV00669603"
"60","DV00671601"
"61","DV00673226"
"62","DV00674720"
"63","DV00675809"
"64","DV00676381"
"65","DV00677711"
"66","DV00678070"
"67","DV00678091"
"68","DV00678599"
"69","DV00679188"
"70","DV00679250"
"71","DV00679483"
"72","DV00679822"
"73","DV00680664"
"74","DV00680689"
"75","DV00680975"
"76","DV00681249"
"77","DV00683486"
"78","DV00683540"
"79","DV00684657"
"80","DV00685764"
"81","DV00686106"
"82","DV00687797"
"83","DV00687834"
"84","DV00688200"
"85","DV00688806"
"86","DV00689005"
"87","DV00689947"
"88","DV00691007"
"89","DV00692325"
"90","DV00692413"
"91","DV00692956"
"92","DV00693586"
"93","DV00694587"
"94","DV00694607"
"95","DV00694693"
"96","DV00694701"
"97","DV00694730"
"98","DV00694941"
"99","DV00695125"
"100","DV00695169"
"101","DV00695398"
"102","DV00695409"
"103","DV00695629"
"104","DV00696394"
"105","DV00696426"
"106","DV00696578"
"107","DV00696739"
"108","DV00697429"
"109","DV00697624"
"110","DV00698399"
"111","DV00698653"
"112","DV00699443"
"113","DV00699897"
"114","DV00700866"
"115","DV00701164"
"116","DV00701779"
"117","DV00701824"
"118","DV00702224"
"119","DV00702224"
"120","DV00702666"
"121","DV00703491"
"122","DV00703846"
"123","DV00703973"
"124","DV00705164"
"125","DV00705910"
"126","DV00706978"
"127","DV00707523"
"128","DV00707664"
"129","DV00708525"
"130","DV00709194"
"131","DV00709618"
"132","DV00709706"
"133","DV00710101"
"134","DV00715078"
"135","DV00715301"
"136","DV00716408"
"137","DV00717441"
"138","DV00718107"
"139","DV00718574"
"140","DV00718670"
"141","DV00719936"
"142","DV00721281"
"143","DV00721691"
"144","DV00721954"
"145","DV00723251"
"146","DV00723771"
"147","DV00723950"
"148","DV00724392"
"149","DV00724429"
"150","DV00724491"
"151","DV00725039"
"152","DV00726018"
"153","DV00726822"
"154","DVP0136896"
"155","DVP0136943"
"156","DVP0137409"
"157","DVP0137559"
"158","DVP0137674"
"159","DVP0138037"
"160","DVP0138690"
"161","DVP0138750"
"162","DVP0138760"
"163","DVP0139753"
"164","DVP0139755"
"165","DVP0139943"
"166","DVP0140191"
"167","DVP0140882"
"168","DVP0141065"
"169","DVP0141525"
"170","DVP0142305"
"171","DVP0142421"
"172","DVP0142423"
"173","DVP0142630"
"174","DVP0142675"
"175","DVP0142743"
"176","DVP0142753"
"177","DVP0142829"
"178","DVP0142921"
"179","DVP0142922"
"180","DVP0143252"
"181","DVP0143872"
"182","DVP0144268"
"183","DVP0144270"
"184","DVP0144705"
"185","DVP0144723"
"186","DVP0145294"
"187","DVP0145296"
"188","DVP0145648"
"189","DVP0146286"
"190","DVP0146636"
"191","DVP0147619"
"192","DVP0147626"
"193","DVP0147745"
"194","DVP0148050"
"195","DVP0148566"
"196","DVP0148569"
"197","DVP0148845"
"198","DVP0148874"
"199","DVP0148992"
"200","DVP0149228"
"201","DVP0149233"
"202","DVP0150141"
"203","DVP0150146"
"204","DVP0151462"
"205","DVP0151703"
"206","DVP0151712"
"207","DVP0152178"
"208","DVP0152450"
"209","DVP0152810"
"210","DVP0153033"
"211","DVP0153333"
"212","DVP0153564"
"213","DVP0153697"
"214","DVP0153913"
"215","DVP0154154"
"216","DVP0155126"
"217","DVP0155760"
"218","DVP0155766"
"219","DVP0156021"
"220","DVP0156079"
"221","DVP0157192"
"222","DVP0157320"
"223","DVP0157547"
"224","DVP0157569"
"225","DVP0157814"
"226","DVP0158386"
"227","DVP0159322"
"228","DVP0159430"
"229","DVP0160821"
"230","DVP0161162"
"231","DVP0161257"
"232","DVP0161857"
"233","DVP0162759"
"234","DVP0163088"
"235","DVP0163099"
"236","DVP0163426"
"237","DVP0163592"
"238","DVP0164089"
"239","DVP0164248"
"240","DVP0164391"
"241","DVP0164475"
"242","DVP0164995"
"243","DVP0165238"
"244","DVP0165399"
"245","DVP0165468"
"246","DVP0165596"
"247","DVP0166206"
"248","DVP0166583"
"249","DVP0166594"
"250","DVP0166772"
"251","DVP0166853"
"252","DVP0167055"
"253","DVP0167403"
"254","DVP0168172"
"255","DVP0168225"
"256","DVP0168448"
"257","DVP0168554"
"258","DVP0169335"
"259","DVP0169709"
"260","DVP0170065"
"261","DVP0170511"
"262","DVP0170580"
"263","DVP0170787"
"264","DVP0170820"
"265","DVP0170970"
"266","DVP0171287"
"267","DVP0171548"
"268","DVP0171705"
"269","DVP0171871"
"270","DVP0171917"
"271","DVP0171918"
"272","DVP0171920"
"273","DVP0172366"
"274","DVP0172414"
"275","DVP0172418"
"276","DVP0172765"
"277","DVP0172791"
"278","DVP0172999"
"279","DVP0173301"
"280","DVP0173733"
"281","DVP0174146"
"282","DVP0174683"
"283","DVP0174870"
"284","DVP0174876"
"285","DVP0175252"
"286","DVP0175254"
"287","DVP0175922"
"288","DVP0176091"
"289","DVP0176546"
"290","DVP0176615"
"291","DVP0177444"
"292","DVP0178005"
"293","DVP0178013"
"294","DVP0178990"
"295","DVP0179414"
"296","DVP0179932"
"297","DVP0180094"
"298","DVP0180385"
"299","DVP0180432"
"300","DVP0181148"
"301","DVP0181984"
"302","DVP0183421"
"303","DVP0183454"
"304","DVP0183518"
"305","DVP0183567"
"306","DVP0183599"
"307","DVP0184016"
"308","DVP0184325"
"309","DVP0184481"
"310","DVP0184565"
"311","DVP0184587"
"312","DVP0184599"
"313","DVP0185118"
"314","DVP0185473"
"315","DVP0186523"
"316","DVP0186622"
"317","DVP0186636"
"318","DVP0187490"
"319","DVP0187732"
"320","DVP0187777"
"321","DVP0188067"
"322","DVP0188293"
"323","DVP0188366"
"324","DVP0188916"
"325","DVP0188975"
"326","DVP0189001"
"327","DVP0189121"
"328","DVP0189131"
"329","DVP0189314"
"330","DVP0189574"
"331","DVP0189575"
"332","DVP0189689"
"333","DVP0190036"
"334","DVP0190040"
"335","DVP0190364"
"336","DVP0190837"
"337","DVP0190851"
"338","DVP0191042"
"339","DVP0191101"
"340","DVP0191282"
"341","DVP0191517"
"342","DVP0191675"
"343","DVP0192274"
"344","DVP0192474"
"345","DVP0193440"
"346","DVP0193654"
"347","DVP0193763"
"348","DVP0193797"
"349","DVP0193847"
"350","DVP0194037"
"351","DVP0194552"
"352","DVP0194888"
"353","DVP0194959"
"354","DVP0195033"
"355","DVP0195097"
"356","DVP0195372"
"357","DVP0195595"
"358","DVP0195606"
"359","DVP0195877"
"360","DVP0195879"
"361","DVP0196206"
"362","DVP0196344"
"363","DVP0196548"
"364","DVP0197076"
"365","DVP0197599"
"366","DVP0198343"
"367","DVP0198627"
"368","DVP0198967"
"369","DVP0200197"
"370","DVP0200344"
"371","DVP0200631"
"372","DVP0200660"
"373","DVP0200668"
"374","DVP0200691"
"375","DVP0201118"
"376","DVP0201422"
"377","DVP0201951"
"378","DVP0202659"
"379","DVP0202734"
"380","DVP0203095"
"381","DVP0203119"
"382","DVP0203121"
"383","DVP0203477"
"384","DVP0203559"
"385","DVP0204752"
"386","DVP0205004"
"387","DVP0205133"
"388","DVP0205418"
"389","DVP0205719"
"390","DVP0205749"
"391","DVP0205765"
"392","DVP0205857"
"393","DVP0205954"
"394","DVP0206633"
"395","DVP0207327"
"396","DVP0207665"
"397","DVP0207907"
"398","DVP0208283"
"399","DVP0208391"
"400","DVP0208556"
"401","DVP0208694"
"402","DVP0208844"
"403","DVP0209058"
"404","DVP0209287"
"405","DVP0209558"
"406","DVP0209866"
"407","DVP0210480"
"408","DVP0211144"
"409","DVP0211391"
"410","DVP0211615"
"411","DVP0211708"
"412","DVP0212110"
"413","DVP0212736"
"414","DVP0213421"
"415","DVP0213429"
"416","DVP0213464"
"417","DVP0213594"
"418","DVP0213660"
"419","DVP0213927"
"420","DI00400238"
"421","DI00400375"
"422","DI00400745"
"423","DI00400778"
"424","DI00400792"
"425","DI00400948"
"426","DI00401022"
"427","DI00401023"
"428","DI00401067"
"429","DI00401182"
"430","DI00401333"
"431","DI00401394"
"432","DI00401463"
"433","DI00401469"
"434","DI00401536"
"435","DI00401544"
"436","DI00401734"
"437","DI00401836"
"438","DI00402127"
"439","DI00402368"
"440","DI00402529"
"441","DI00402634"
"442","DI00402848"
"443","DI00403117"
"444","DI00403132"
"445","DI00403167"
"446","DI00403445"
"447","DI00403467"
"448","DI00403938"
"449","DI00403939"
"450","DI00404202"
"451","DI00404248"
"452","DI00404291"
"453","DI00404302"
"454","DI00404395"
"455","DI00404832"
"456","DI00404868"
"457","DI00404993"
"458","DI00405083"
"459","DI00405324"
"460","DI00405376"
"461","DI00405435"
"462","DI00405486"
"463","DI00405555"
"464","DI00405793"
"465","DI00405807"
"466","DI00405828"
"467","DI00405908"
"468","DI00406052"
"469","DI00406117"
"470","DI00406128"
"471","DI00406578"
"472","DI00406744"
"473","DI00407167"
"474","DI00407218"
"475","DI00407369"
"476","DI00407378"
"477","DI00407408"
"478","DI00407412"
"479","DI00407417"
"480","DI00407465"
"481","DI00407546"
"482","DI00407547"
"483","DI00407586"
"484","DI00407592"
"485","DI00407598"
"486","DI00407861"
"487","DI00407951"
"488","DI00408213"
"489","DI00408329"
"490","DI00408397"
"491","DI00408494"
"492","DI00408561"
"493","DI00408728"
"494","DI00408735"
"495","DI00408880"
"496","DI00408885"
"497","DI00409021"
"498","DI00409164"
"499","DI00409204"
"500","DI00409251"
"501","DI00409260"
"502","DI00409422"
"503","DI00409423"
"504","DI00409449"
"505","DI00409451"
"506","DI00409542"
"507","DI00409739"
"508","DI00409771"
"509","DI00409786"
"510","DI00410005"
"511","DI00410094"
"512","DI00410189"
"513","DI00410308"
"514","DV00576421"
"515","DV00576481"
"516","DV00577861"
"517","DV00579739"
"518","DV00579776"
"519","DV00581154"
"520","DV00581222"
"521","DV00583741"
"522","DV00584466"
"523","DV00584536"
"524","DV00585564"
"525","DV00589462"
"526","DV00589836"
"527","DV00590075"
"528","DV00591682"
"529","DV00592006"
"530","DV00592488"
"531","DV00595887"
"532","DV00596381"
"533","DV00597249"
"534","DV00597503"
"535","DV00598094"
"536","DV00604041"
"537","DV00604113"
"538","DV00604581"
"539","DV00605725"
"540","DV00607042"
"541","DV00607384"
"542","DV00607961"
"543","DV00610681"
"544","DV00611961"
"545","DV00612443"
"546","DV00612623"
"547","DV00613241"
"548","DV00615481"
"549","DV00616122"
"550","DV00616578"
"551","DV00617607"
"552","DV00617670"
"553","DV00619902"
"554","DV00620845"
"555","DV00621622"
"556","DV00622241"
"557","DV00622492"
"558","DV00623345"
"559","DV00624829"
"560","DV00625702"
"561","DV00625983"
"562","DV00626241"
"563","DV00626664"
"564","DV00628026"
"565","DV00628056"
"566","DV00628556"
"567","DV00631372"
"568","DV00633961"
"569","DV00634769"
"570","DV00636272"
"571","DV00637004"
"572","DV00637503"
"573","DV00637767"
"574","DV00639353"
"575","DV00642542"
"576","DV00645151"
"577","DV00645381"
"578","DV00645864"
"579","DV00646791"
"580","DV00648582"
"581","DV00648952"
"582","DV00650743"
"583","DV00652082"
"584","DV00652226"
"585","DV00653003"
"586","DV00655361"
"587","DV00656261"
"588","DV00658043"
"589","DV00658162"
"590","DV00659174"
"591","DV00661604"
"592","DV00661647"
"593","DV00662935"
"594","DV00663110"
"595","DV00663641"
"596","DV00664526"
"597","DV00664529"
"598","DV00665185"
"599","DV00665802"
"600","DV00666138"
"601","DV00666181"
"602","DV00666326"
"603","DV00666508"
"604","DV00666543"
"605","DV00666964"
"606","DV00668500"
"607","DV00668500"
"608","DV00669311"
"609","DV00669585"
"610","DV00671382"
"611","DV00671518"
"612","DV00671614"
"613","DV00671995"
"614","DV00672327"
"615","DV00672670"
"616","DV00672745"
"617","DV00672827"
"618","DV00673217"
"619","DV00673278"
"620","DV00673439"
"621","DV00673606"
"622","DV00674027"
"623","DV00674314"
"624","DV00674380"
"625","DV00674997"
